std,type,big,middle,job,sex,age,money,count,mean_money
14-Sep,내국인 관광객,서귀포시,예래동,농축수산품,남,20대,840500,16,52531
14-Sep,내국인 관광객,제주시,용담2동,농축수산품,여,30대,22811390,435,52440
14-Sep,내국인 관광객,제주시,이도2동,농축수산품,여,40대,8366370,160,52290
14-Sep,내국인 관광객,제주시,애월읍,농축수산품,남,40대,3032000,58,52276
14-Sep,내국인 관광객,제주시,연동,정장(여성),남,50대,520800,10,52080
14-Sep,내국인 관광객,제주시,노형동,농축수산품,남,40대,2783400,54,51544
14-Sep,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,30대,768100,15,51207
14-Sep,내국인 관광객,서귀포시,성산읍,정장(여성),여,40대,553000,11,50273
14-Sep,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,50대,14461850,288,50215
14-Sep,내국인 관광객,서귀포시,남원읍,농축수산품,여,20대,1040300,21,49538
14-Sep,내국인 관광객,제주시,애월읍,농축수산품,남,50대,2813500,57,49360
14-Sep,내국인 관광객,제주시,노형동,기념품 점,남,30대,3907200,80,48840
14-Sep,내국인 관광객,서귀포시,성산읍,농축수산품,여,30대,12859100,265,48525
14-Sep,내국인 관광객,제주시,연동,기념품 점,남,50대,1902000,40,47550
14-Sep,내국인 관광객,제주시,노형동,농축수산품,여,40대,1845500,39,47321
14-Sep,내국인 관광객,제주시,노형동,안경,여,30대,757000,16,47313
14-Sep,내국인 관광객,서귀포시,대륜동,안경,남,30대,516000,11,46909
14-Sep,내국인 관광객,제주시,노형동,기념품 점,남,40대,1989800,43,46274
14-Sep,내국인 관광객,제주시,이도2동,의원,남,20대,1156400,25,46256
14-Sep,내국인 관광객,제주시,이도2동,정장(여성),여,20대,2445000,54,45278
14-Sep,내국인 관광객,제주시,연동,신   발,여,20대,856900,19,45100
14-Sep,내국인 관광객,제주시,이도2동,안경,여,20대,1168000,26,44923
14-Sep,내국인 관광객,제주시,연동,기념품 점,여,40대,935840,21,44564
14-Sep,내국인 관광객,제주시,연동,기념품 점,여,50대,843500,19,44395
14-Sep,내국인 관광객,제주시,이도2동,농축수산품,여,30대,4333510,98,44219
14-Sep,내국인 관광객,서귀포시,남원읍,농축수산품,남,30대,4941300,112,44119
14-Sep,내국인 관광객,제주시,연동,신   발,여,30대,520800,12,43400
14-Sep,내국인 관광객,제주시,연동,의원,여,40대,1732260,40,43307
14-Sep,내국인 관광객,제주시,노형동,기념품 점,남,20대,1422700,33,43112
14-Sep,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,20대,1508000,35,43086
14-Sep,내국인 관광객,서귀포시,예래동,스포츠레져용품,남,50대,1109100,26,42658
14-Sep,내국인 관광객,서귀포시,예래동,기념품 점,여,40대,894500,21,42595
14-Sep,내국인 관광객,서귀포시,성산읍,농축수산품,여,20대,4620700,109,42392
14-Sep,내국인 관광객,서귀포시,성산읍,정장(여성),여,30대,1214100,29,41866
14-Sep,내국인 관광객,서귀포시,남원읍,농축수산품,남,20대,622300,15,41487
14-Sep,내국인 관광객,제주시,연동,기념품 점,남,30대,3640500,88,41369
14-Sep,내국인 관광객,서귀포시,성산읍,농축수산품,남,20대,1805000,44,41023
14-Sep,내국인 관광객,제주시,용담2동,농축수산품,여,20대,7829350,195,40151
14-Sep,내국인 관광객,제주시,이도2동,악세 사리,여,30대,1566000,40,39150
14-Sep,내국인 관광객,제주시,삼도2동,악세 사리,여,30대,1017900,26,39150
14-Sep,내국인 관광객,제주시,이도2동,농축수산품,남,20대,1983010,51,38883
14-Sep,내국인 관광객,서귀포시,예래동,농축수산품,여,20대,1162600,30,38753
14-Sep,내국인 관광객,제주시,연동,악세 사리,남,30대,384400,10,38440
14-Sep,내국인 관광객,제주시,용담2동,기념품 점,남,50대,23984500,624,38437
14-Sep,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,50대,651000,17,38294
14-Sep,내국인 관광객,제주시,노형동,기념품 점,여,40대,1208600,32,37769
14-Sep,내국인 관광객,제주시,용담2동,기념품 점,여,50대,17599500,477,36896
14-Sep,내국인 관광객,제주시,노형동,의원,여,30대,7411950,204,36333
14-Sep,내국인 관광객,서귀포시,예래동,기념품 점,남,40대,1990300,55,36187
14-Sep,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,40대,16837800,471,35749
14-Sep,내국인 관광객,제주시,용담2동,농축수산품,남,20대,3251140,94,34587
14-Sep,내국인 관광객,서귀포시,예래동,스포츠레져용품,남,40대,413600,12,34467
14-Sep,내국인 관광객,제주시,노형동,기념품 점,여,30대,2512600,73,34419
14-Sep,내국인 관광객,제주시,애월읍,농축수산품,여,40대,1606500,47,34181
14-Sep,내국인 관광객,제주시,연동,의원,남,50대,951570,28,33985
14-Sep,내국인 관광객,제주시,노형동,농축수산품,여,20대,338400,10,33840
14-Sep,내국인 관광객,제주시,노형동,기념품 점,여,20대,2064200,61,33839
14-Sep,내국인 관광객,제주시,이도2동,의원,남,50대,1588900,47,33806
14-Sep,내국인 관광객,제주시,이도2동,농축수산품,여,20대,1760400,53,33215
14-Sep,내국인 관광객,제주시,연동,악세 사리,남,20대,330800,10,33080
14-Sep,내국인 관광객,제주시,연동,안경,여,20대,890000,27,32963
14-Sep,내국인 관광객,제주시,노형동,의원,여,40대,3160741,97,32585
14-Sep,내국인 관광객,제주시,이도2동,악세 사리,여,20대,1365500,42,32512
14-Sep,내국인 관광객,제주시,애월읍,스포츠레져용품,남,40대,389000,12,32417
14-Sep,내국인 관광객,제주시,연동,기념품 점,여,30대,2236000,69,32406
14-Sep,내국인 관광객,서귀포시,남원읍,스포츠레져용품,남,40대,485700,15,32380
14-Sep,내국인 관광객,제주시,노형동,정장(여성),여,20대,548800,17,32282
14-Sep,내국인 관광객,제주시,용담2동,기념품 점,여,40대,20607000,642,32098
14-Sep,내국인 관광객,서귀포시,예래동,스포츠레져용품,여,50대,449000,14,32071
14-Sep,내국인 관광객,제주시,용담2동,의원,여,40대,445700,14,31836
14-Sep,내국인 관광객,제주시,용담2동,기념품 점,남,40대,29207200,924,31610
14-Sep,내국인 관광객,제주시,이도2동,악세 사리,남,30대,472000,15,31467
14-Sep,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,40대,435000,14,31071
