date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2017-05-06,216,39,0.047,0.01,0.3,0.002,16.7,20.3,15.2,0
2017-05-07,137,27,0.063,0.011,0.2,0.002,20,24.4,14.7,0
2017-05-08,152,30,0.044,0.027,0.3,0.004,18.6,22.1,16.5,0.8
2017-05-09,32,15,0.062,0.007,0.3,0.002,16.3,19.4,14.2,4.3
2017-05-10,37,17,0.048,0.016,0.4,0.002,15.8,18.6,14.2,1.5
2017-05-11,69,32,0.071,0.013,0.4,0.003,23.7,28.1,15.1,0
2017-05-12,47,24,0.053,0.011,0.4,0.003,17.9,20.7,15.6,25.3
2017-05-13,30,16,0.053,0.013,0.4,0.003,18.7,23.1,15.1,0
2017-05-14,75,28,0.068,0.009,0.4,0.003,17.2,23.2,13.7,0
2017-05-15,43,10,0.05,0.012,0.2,0.002,17.5,21.3,14.5,0
2017-05-16,52,18,0.056,0.015,0.3,0.003,17.8,20.3,15,0
2017-05-17,43,23,0.066,0.013,0.4,0.003,18.9,21.4,15.6,0
2017-05-18,43,20,0.069,0.014,0.3,0.003,20,23.6,16,0
2017-05-19,44,22,0.06,0.016,0.3,0.003,20.2,24.3,16.9,0
2017-05-20,39,22,0.061,0.017,0.3,0.003,20.2,23.7,17.7,0
2017-05-21,43,26,0.051,0.013,0.3,0.005,21.8,27.8,17.8,0
2017-05-22,39,22,0.047,0.014,0.3,0.004,22,27.5,17.6,0
2017-05-23,38,21,0.038,0.016,0.4,0.004,20.9,26.6,18.1,0
2017-05-24,34,23,0.028,0.015,0.4,0.004,20,23.2,18.2,0.5
2017-05-25,36,18,0.049,0.014,0.4,0.004,20,25.1,16.3,0
2017-05-26,40,12,0.055,0.009,0.3,0.003,17.5,21.4,14.8,0
2017-05-27,25,10,0.055,0.012,0.3,0.003,17.8,21.5,13.6,0
2017-05-28,41,17,0.048,0.023,0.4,0.005,20.6,23.3,16.8,0
2017-05-29,60,24,0.059,0.023,0.4,0.004,22.8,27.1,18.3,0
2017-05-30,45,22,0.05,0.019,0.4,0.004,22.6,26.8,19.4,0
2017-05-31,46,27,0.033,0.018,0.4,0.006,21.9,26.3,18.5,0
2017-06-01,61,42,0.053,0.015,0.5,0.004,21.2,25.4,18.3,0
2017-06-02,51,17,0.056,0.014,0.4,0.004,20.2,25.6,17.2,0
2017-06-03,26,10,0.052,0.012,0.3,0.003,20.4,24.1,17.5,0
2017-06-04,35,15,0.055,0.011,0.4,0.004,20.3,23,16.7,0
2017-06-05,39,19,0.052,0.013,0.4,0.004,21.9,27.1,19.4,0
2017-06-06,26,11,0.039,0.01,0.4,0.002,20.9,24.9,18.9,3.9
2017-06-07,31,16,0.043,0.009,0.4,0.003,19.9,25.1,17.9,1.2
2017-06-08,35,18,0.06,0.01,0.4,0.003,20.4,24.8,17.5,0
2017-06-09,45,27,0.064,0.012,0.4,0.003,23.4,26.9,18.9,0
2017-06-10,60,41,0.054,0.014,0.5,0.003,22.9,25.7,20.4,0.9
2017-06-11,45,27,0.047,0.009,0.4,0.003,21.6,26.2,19.9,0
2017-06-12,43,16,0.036,0.005,0.3,0.002,20.5,23.3,18.9,0
2017-06-13,33,11,0.035,0.008,0.3,0.003,19.1,21.3,17.7,0
2017-06-14,35,15,0.037,0.011,0.3,0.003,20.1,24.8,17.3,0
2017-06-15,45,20,0.045,0.014,0.3,0.003,21.9,26.2,17.8,0
2017-06-16,51,26,0.049,0.014,0.4,0.004,22.2,24.7,20.5,0
2017-06-17,47,20,0.033,0.011,0.3,0.004,21.7,25.1,19.3,0
2017-06-18,42,17,0.042,0.009,0.3,0.003,23,28,20.2,0
2017-06-19,49,27,0.04,0.014,0.4,0.004,23.4,26,20.9,0
2017-06-20,41,25,0.036,0.009,0.4,0.004,22.3,24.4,19.6,11.7
2017-06-21,52,36,0.035,0.012,0.4,0.005,22.3,25.8,19.7,0
2017-06-22,36,24,0.028,0.012,0.4,0.004,23.1,26.6,20.8,0
2017-06-23,34,22,0.021,0.017,0.4,0.006,23.1,25.8,21.2,0
2017-06-24,43,29,0.029,0.015,0.4,0.004,22.5,24.5,21.2,2.2
2017-06-25,38,27,0.03,0.013,0.4,0.005,23.4,25.8,21.1,0
2017-06-26,46,32,0.031,0.016,0.5,0.004,23.4,26.4,21.6,0
2017-06-27,61,38,0.036,0.014,0.5,0.003,23.2,25.5,21.6,1
2017-06-28,55,38,0.041,0.013,0.6,0.002,24.1,26.4,21,0
2017-06-29,40,25,0.04,0.013,0.6,0.002,22.1,23.2,21,39.8
2017-06-30,41,23,0.03,0.015,0.5,0.002,24,26.8,21.9,0
2017-07-01,38,22,0.023,0.01,0.4,0.002,26.6,28.9,23.1,0
2017-07-02,21,9,0.014,0.006,0.4,0.002,30.3,34.7,24.8,0
2017-07-03,19,6,0.012,0.007,0.3,0.003,28.9,33.4,26.1,0
2017-07-04,24,9,0.017,0.009,0.4,0.002,28.9,33.9,25.5,0
2017-07-05,32,17,0.031,0.01,0.4,0.001,28.2,31.9,26.1,0.7
2017-07-06,38,18,0.023,0.011,0.4,0.001,27.9,32.9,26,0
2017-07-07,25,9,0.015,0.01,0.3,0.002,29.2,31.6,25.6,0
2017-07-08,30,11,0.024,0.008,0.4,0.002,28.2,32,24,0
2017-07-09,32,12,0.029,0.008,0.4,0.002,28.2,30.2,26.1,0
2017-07-10,34,11,0.027,0.004,0.4,0.002,30.3,34.1,27.5,0
2017-07-11,28,12,0.029,0.01,0.4,0.002,26,28.3,24.2,24.8
2017-07-12,49,31,0.042,0.011,0.5,0.002,26.8,29.3,24.6,0
2017-07-13,43,23,0.031,0.014,0.4,0.002,27.4,30.8,24.8,0
2017-07-14,40,21,0.032,0.011,0.4,0.002,28.8,30.7,26,0
2017-07-15,30,14,0.025,0.009,0.4,0.002,29.2,32.5,27.4,0
